 Direct beam 1:  4454
 Reflect beam 1:  4566
 Instrument background 1:  
 Theta 1: san
 Direct beam 2:  4570
 Reflect beam 2:  4567
 Instrument background 2:  
 Theta 2: san
 Direct beam 3:  4572
 Reflect beam 3:  4569
 Instrument background 3:  
 Theta 3: san
 Water:  
 Foreground 1:        5
 Foreground 2:        9
 Foreground 3:        9
 Background Low 1 - Offset :        5
 Background Low 1 - Width  :        9
 Background Low 2 - Offset :        5
 Background Low 2 - Width  :        5
 Background Low 3 - Offset :        5
 Background Low 3 - Width  :        5
 Background High 1 - Offset :        5
 Background High 1 - Width  :        9
 Background High 2 - Offset :        5
 Background High 2 - Width  :        5
 Background High 3 - Offset :        5
 Background High 3 - Width  :        5
 Lambda Range 1:       3.00000-      25.0000
 Lambda Range 2:       2.20000-      25.0000
 Lambda Range 3:       2.20000-      25.0000
 Useful Pixel Range 1:           30-         255
 Useful Pixel Range 2:           30-         255
 Useful Pixel Range 3:           30-         255
 Search Pixel Range 1:          160-         254
 Search Pixel Range 2:          160-         254
 Search Pixel Range 3:          160-         254
 Search Time Range 1:            0-         999
 Search Time Range 2:            0-         999
 Search Time Range 3:            0-         999

	q	   refl		refl err	q res
    0.0107311      0.935951     0.0429188   0.000146156
    0.0107547      0.877341     0.0406767   0.000146505
    0.0107784      0.848191     0.0385772   0.000146856
    0.0108022      0.851488     0.0385180   0.000147209
    0.0108261      0.902042     0.0407645   0.000147563
    0.0108501      0.873682     0.0395598   0.000147919
    0.0108742      0.834819     0.0380402   0.000148276
    0.0108985      0.927945     0.0409265   0.000148636
    0.0109228      0.907133     0.0401211   0.000148997
    0.0109473      0.909157     0.0402326   0.000149360
    0.0109718      0.932170     0.0407808   0.000149724
    0.0109965      0.907856     0.0399993   0.000150091
    0.0110213      0.927985     0.0401810   0.000150459
    0.0110462      0.882971     0.0375821   0.000150829
    0.0110712      0.870089     0.0375142   0.000151201
    0.0110963      0.939203     0.0406383   0.000151574
    0.0111215      0.873058     0.0373319   0.000151950
    0.0111469      0.886317     0.0378629   0.000152327
    0.0111724       1.00463     0.0420648   0.000152706
    0.0111979      0.870481     0.0362241   0.000153087
    0.0112236      0.905611     0.0373777   0.000153470
    0.0112495      0.866525     0.0356032   0.000153855
    0.0112754      0.909066     0.0374336   0.000154242
    0.0113015      0.862684     0.0362715   0.000154631
    0.0113276      0.858012     0.0352115   0.000155022
    0.0113539      0.935327     0.0377794   0.000155414
    0.0113804      0.940220     0.0374261   0.000155809
    0.0114069      0.882823     0.0355144   0.000156206
    0.0114336      0.872926     0.0348464   0.000156604
    0.0114604      0.877262     0.0339586   0.000157005
    0.0114873      0.944769     0.0381754   0.000157408
    0.0115143      0.843527     0.0329627   0.000157813
    0.0115415      0.960904     0.0366038   0.000158220
    0.0115688      0.941866     0.0367605   0.000158629
    0.0115962      0.895035     0.0341235   0.000159040
    0.0116238      0.881572     0.0331170   0.000159453
    0.0116515      0.947571     0.0359855   0.000159869
    0.0116793      0.858423     0.0321114   0.000160286
    0.0117073      0.912277     0.0337287   0.000160706
    0.0117354      0.923678     0.0342676   0.000161128
    0.0117636      0.891700     0.0330125   0.000161552
    0.0117920      0.924214     0.0337999   0.000161979
    0.0118205      0.935912     0.0339513   0.000162407
    0.0118491      0.901756     0.0329508   0.000162838
    0.0118779      0.913593     0.0327590   0.000163271
    0.0119068      0.906431     0.0325195   0.000163707
    0.0119359      0.962585     0.0348456   0.000164145
    0.0119651      0.921005     0.0322708   0.000164585
    0.0119945      0.945461     0.0330933   0.000165027
    0.0120239      0.884546     0.0314206   0.000165472
    0.0120536      0.925105     0.0324448   0.000165919
    0.0120834      0.874695     0.0303867   0.000166369
    0.0121133      0.872116     0.0299638   0.000166821
    0.0121434      0.897934     0.0304644   0.000167276
    0.0121736      0.874658     0.0298107   0.000167733
    0.0122040      0.875853     0.0299050   0.000168192
    0.0122345      0.943670     0.0317982   0.000168654
    0.0122503      0.996135      0.404795   0.000158741
    0.0122652      0.880440     0.0297688   0.000169119
